Job Name,Nest #,# Runs,Part Name,Part Weight,QuantityNested,Remarks,Plate Name,Material,Plate Thk,Plate Width,Plate Length,Plate Weight,Plate % Utilization,DO NOT USE

10011B,1 ,1,X-SM-PLASMA-SLAT,5.43,1,,SHT-MS7GX72X96,MS,0.179,72.0000,96.0000,350.14,94.15,100.00%
10011B,1 ,1,FC-3X7GX35.75-WH,10.09,1,,SHT-MS7GX72X96,MS,0.179,72.0000,96.0000,350.14,94.15,185.78%
10011B,1 ,1,FC-6X7GX35.75-CASP,15.19,1,,SHT-MS7GX72X96,MS,0.179,72.0000,96.0000,350.14,94.15,279.67%
10011B,1 ,1,BKF540.179,114.87,1,,SHT-MS7GX72X96,MS,0.179,72.0000,96.0000,350.14,94.15,2115.39%
10011B,1 ,1,BTF405.179,184.09,1,,SHT-MS7GX72X96,MS,0.179,72.0000,96.0000,350.14,94.15,3390.18%
